id;parent_id;niveau;niveau_nom;code;libelle;chemin_codes;chemin_libelles;definition;source;url
sg:224;grp:22;3;sous_groupe;224;TIC;2 > 22 > 224;Les outils pour gérer l'entreprise > Sciences et techniques de l'information > TIC;;;https://aciege.org/Schm/Fra/FRA_224.html
cat:3;;1;categorie;3;Les Environnements de l'entreprise;3;Les Environnements de l'entreprise;;;
grp:31;cat:3;2;groupe;31;Politique;3 > 31;Les Environnements de l'entreprise > Politique;;;
sg:311;grp:31;3;sous_groupe;311;ENVIRONNEMENT POLITIQUE;3 > 31 > 311;Les Environnements de l'entreprise > Politique > ENVIRONNEMENT POLITIQUE;;;https://aciege.org/Schm/Fra/FRA_311.html
grp:32;cat:3;2;groupe;32;Droit;3 > 32;Les Environnements de l'entreprise > Droit;;;
sg:321;grp:32;3;sous_groupe;321;DROIT;3 > 32 > 321;Les Environnements de l'entreprise > Droit > DROIT;;;https://aciege.org/Schm/Fra/FRA_321.html
sg:322;grp:32;3;sous_groupe;322;DROIT COMMERCIAL;3 > 32 > 322;Les Environnements de l'entreprise > Droit > DROIT COMMERCIAL;;;https://aciege.org/Schm/Fra/FRA_322.html
sg:323;grp:32;3;sous_groupe;323;DROIT CIVIL;3 > 32 > 323;Les Environnements de l'entreprise > Droit > DROIT CIVIL;;;https://aciege.org/Schm/Fra/FRA_323.html
sg:324;grp:32;3;sous_groupe;324;DROIT SOCIAL;3 > 32 > 324;Les Environnements de l'entreprise > Droit > DROIT SOCIAL;;;https://aciege.org/Schm/Fra/FRA_324.html
grp:33;cat:3;2;groupe;33;Economie;3 > 33;Les Environnements de l'entreprise > Economie;;;
sg:331;grp:33;3;sous_groupe;331;THEORIE ECONOMIQUE;3 > 33 > 331;Les Environnements de l'entreprise > Economie > THEORIE ECONOMIQUE;;;https://aciege.org/Schm/Fra/FRA_331.html
sg:332;grp:33;3;sous_groupe;332;ECONOMIE POLITIQUE;3 > 33 > 332;Les Environnements de l'entreprise > Economie > ECONOMIE POLITIQUE;;;https://aciege.org/Schm/Fra/FRA_332.html
sg:333;grp:33;3;sous_groupe;333;ECONOMIE INTERNATIONALE;3 > 33 > 333;Les Environnements de l'entreprise > Economie > ECONOMIE INTERNATIONALE;;;https://aciege.org/Schm/Fra/FRA_333.html
sg:334;grp:33;3;sous_groupe;334;FISCALITE;3 > 33 > 334;Les Environnements de l'entreprise > Economie > FISCALITE;;;https://aciege.org/Schm/Fra/FRA_334.html
sg:335;grp:33;3;sous_groupe;335;BANQUE ET MONNAIE;3 > 33 > 335;Les Environnements de l'entreprise > Economie > BANQUE ET MONNAIE;;;https://aciege.org/Schm/Fra/FRA_335.html
grp:34;cat:3;2;groupe;34;Environnement naturel;3 > 34;Les Environnements de l'entreprise > Environnement naturel;;;
sg:341;grp:34;3;sous_groupe;341;ENERGIE;3 > 34 > 341;Les Environnements de l'entreprise > Environnement naturel > ENERGIE;;;https://aciege.org/Schm/Fra/FRA_341.html
sg:342;grp:34;3;sous_groupe;342;PROTECTION DE L'ENVIRONNEMENT;3 > 34 > 342;Les Environnements de l'entreprise > Environnement naturel > PROTECTION DE L'ENVIRONNEMENT;;;https://aciege.org/Schm/Fra/FRA_342.html
grp:35;cat:3;2;groupe;35;Société;3 > 35;Les Environnements de l'entreprise > Société;;;
sg:351;grp:35;3;sous_groupe;351;ENVIRONNEMENT SOCIAL;3 > 35 > 351;Les Environnements de l'entreprise > Société > ENVIRONNEMENT SOCIAL;;;https://aciege.org/Schm/Fra/FRA_351.html
sg:352;grp:35;3;sous_groupe;352;DEMOGRAPHIE;3 > 35 > 352;Les Environnements de l'entreprise > Société > DEMOGRAPHIE;;;https://aciege.org/Schm/Fra/FRA_352.html
grp:36;cat:3;2;groupe;36;Culture;3 > 36;Les Environnements de l'entreprise > Culture;;;
sg:361;grp:36;3;sous_groupe;361;ENVIRONNEMENT CULTUREL ET ARTISTIQUE;3 > 36 > 361;Les Environnements de l'entreprise > Culture > ENVIRONNEMENT CULTUREL ET ARTISTIQUE;;;https://aciege.org/Schm/Fra/FRA_361.html
sg:362;grp:36;3;sous_groupe;362;ENVIRONNEMENT SCIENTIFIQUE;3 > 36 > 362;Les Environnements de l'entreprise > Culture > ENVIRONNEMENT SCIENTIFIQUE;;;https://aciege.org/Schm/Fra/FRA_362.html
cat:4;;1;categorie;4;Listes outils;4;Listes outils;;;
grp:41;cat:4;2;groupe;41;Listes;4 > 41;Listes outils > Listes;;;
sg:410;grp:41;3;sous_groupe;410;LANGUE VIVANTE;4 > 41 > 410;Listes outils > Listes > LANGUE VIVANTE;;;https://aciege.org/CS/Fra/FRA_410.html
sg:411;grp:41;3;sous_groupe;411;MOT OUTIL;4 > 41 > 411;Listes outils > Listes > MOT OUTIL;;;https://aciege.org/CS/Fra/FRA_411.html
sg:412;grp:41;3;sous_groupe;412;TYPE DE DOCUMENT;4 > 41 > 412;Listes outils > Listes > TYPE DE DOCUMENT;;;https://aciege.org/CS/Fra/FRA_412.html
sg:413;grp:41;3;sous_groupe;413;ORGANISATION INTERNATIONALE;4 > 41 > 413;Listes outils > Listes > ORGANISATION INTERNATIONALE;;;https://aciege.org/CS/Fra/FRA_413.html
sg:414;grp:41;3;sous_groupe;414;ORGANISME FRANCAIS;4 > 41 > 414;Listes outils > Listes > ORGANISME FRANCAIS;;;https://aciege.org/CS/Fra/FRA_414.html
sg:415;grp:41;3;sous_groupe;415;ZONE GEOPOLITIQUE;4 > 41 > 415;Listes outils > Listes > ZONE GEOPOLITIQUE;;;https://aciege.org/CS/Fra/FRA_415.html
sg:416;grp:41;3;sous_groupe;416;ACCORD INTERNATIONAL;4 > 41 > 416;Listes outils > Listes > ACCORD INTERNATIONAL;;;https://aciege.org/CS/Fra/FRA_416.html
grp:42;cat:4;2;groupe;42;Secteurs d'activité;4 > 42;Listes outils > Secteurs d'activité;;;
sg:420;grp:42;3;sous_groupe;420;AGROALIMENTAIRE SECTEUR;4 > 42 > 420;Listes outils > Secteurs d'activité > AGROALIMENTAIRE SECTEUR;;;https://aciege.org/Schm/Fra/FRA_420.html
sg:421;grp:42;3;sous_groupe;421;EXPLOITATION DU MILIEU NATUREL SECTEUR;4 > 42 > 421;Listes outils > Secteurs d'activité > EXPLOITATION DU MILIEU NATUREL SECTEUR;;;https://aciege.org/Schm/Fra/FRA_421.html
sg:422;grp:42;3;sous_groupe;422;TRAVAIL DES METAUX SECTEUR;4 > 42 > 422;Listes outils > Secteurs d'activité > TRAVAIL DES METAUX SECTEUR;;;https://aciege.org/Schm/Fra/FRA_422.html
sg:423;grp:42;3;sous_groupe;423;ELECTRICITE ET ELECTRONIQUE SECTEUR;4 > 42 > 423;Listes outils > Secteurs d'activité > ELECTRICITE ET ELECTRONIQUE SECTEUR;;;https://aciege.org/Schm/Fra/FRA_423.html
sg:424;grp:42;3;sous_groupe;424;CHIMIE SECTEUR;4 > 42 > 424;Listes outils > Secteurs d'activité > CHIMIE SECTEUR;;;https://aciege.org/Schm/Fra/FRA_424.html
sg:425;grp:42;3;sous_groupe;425;INDUSTRIE DE TRANSFORMATION SECTEUR;4 > 42 > 425;Listes outils > Secteurs d'activité > INDUSTRIE DE TRANSFORMATION SECTEUR;;;https://aciege.org/Schm/Fra/FRA_425.html
sg:426;grp:42;3;sous_groupe;426;INDUSTRIES DIVERSES SECTEUR;4 > 42 > 426;Listes outils > Secteurs d'activité > INDUSTRIES DIVERSES SECTEUR;;;https://aciege.org/Schm/Fra/FRA_426.html
sg:427;grp:42;3;sous_groupe;427;BATIMENT ET TRAVAUX PUBLICS SECTEUR;4 > 42 > 427;Listes outils > Secteurs d'activité > BATIMENT ET TRAVAUX PUBLICS SECTEUR;;;https://aciege.org/Schm/Fra/FRA_427.html
sg:428;grp:42;3;sous_groupe;428;AUXILIAIRE DE L'ENTREPRISE SECTEUR;4 > 42 > 428;Listes outils > Secteurs d'activité > AUXILIAIRE DE L'ENTREPRISE SECTEUR;;;https://aciege.org/Schm/Fra/FRA_428.html
sg:429;grp:42;3;sous_groupe;429;SERVICE SECTEUR;4 > 42 > 429;Listes outils > Secteurs d'activité > SERVICE SECTEUR;;;https://aciege.org/Schm/Fra/FRA_429.html
cat:0;;1;categorie;0;Géographie;0;Géographie;;;
grp:00;cat:0;2;groupe;00;France;0 > 00;Géographie > France;;;
sg:001;grp:00;3;sous_groupe;001;REGION FRANCAISE;0 > 00 > 001;Géographie > France > REGION FRANCAISE;;;https://aciege.org/CS/Fra/FRA_001.html
sg:002;grp:00;3;sous_groupe;002;DOM TOM;0 > 00 > 002;Géographie > France > DOM TOM;;;https://aciege.org/CS/Fra/FRA_002.html
grp:01;cat:0;2;groupe;01;Europe;0 > 01;Géographie > Europe;;;
sg:011;grp:01;3;sous_groupe;011;EUROPE;0 > 01 > 011;Géographie > Europe > EUROPE;;;https://aciege.org/CS/Fra/FRA_011.html
grp:02;cat:0;2;groupe;02;Amérique;0 > 02;Géographie > Amérique;;;
sg:021;grp:02;3;sous_groupe;021;AMERIQUE;0 > 02 > 021;Géographie > Amérique > AMERIQUE;;;https://aciege.org/CS/Fra/FRA_021.html
grp:03;cat:0;2;groupe;03;Afrique;0 > 03;Géographie > Afrique;;;
sg:031;grp:03;3;sous_groupe;031;AFRIQUE;0 > 03 > 031;Géographie > Afrique > AFRIQUE;;;https://aciege.org/CS/Fra/FRA_031.html
grp:04;cat:0;2;groupe;04;Asie;0 > 04;Géographie > Asie;;;
sg:041;grp:04;3;sous_groupe;041;ASIE;0 > 04 > 041;Géographie > Asie > ASIE;;;https://aciege.org/CS/Fra/FRA_041.html
grp:05;cat:0;2;groupe;05;Océanie;0 > 05;Géographie > Océanie;;;
sg:051;grp:05;3;sous_groupe;051;OCEANIE;0 > 05 > 051;Géographie > Océanie > OCEANIE;;;https://aciege.org/CS/Fra/FRA_051.html
grp:06;cat:0;2;groupe;06;Antarctique;0 > 06;Géographie > Antarctique;;;
sg:061;grp:06;3;sous_groupe;061;CERCLE POLAIRE;0 > 06 > 061;Géographie > Antarctique > CERCLE POLAIRE;;;https://aciege.org/CS/Fra/FRA_061.html
