concept_id;level;level_name;label_fr;label_en;definition_fr;definition_en;source_biblio;parent_id;path_ids;path_labels;in_site;in_zthes;source_authority;scheme_url;n_children;n_synonyms;n_related;has_definition
125;3;sous_groupe;PUBLICITE;ADVERTISING;;;;12;1 > 12 > 125;L'entreprise et son management > Marketing > PUBLICITE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_125.html;30;0;0;0
131;3;sous_groupe;FINANCE D'ENTREPRISE;CORPORATE FINANCE;;;;13;1 > 13 > 131;L'entreprise et son management > Finance > FINANCE D'ENTREPRISE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_131.html;49;0;0;0
132;3;sous_groupe;COMPTABILITE;ACCOUNTING;;;;13;1 > 13 > 132;L'entreprise et son management > Finance > COMPTABILITE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_132.html;56;0;0;0
133;3;sous_groupe;CONTROLE DE GESTION;MANAGEMENT CONTROL;;;;13;1 > 13 > 133;L'entreprise et son management > Finance > CONTROLE DE GESTION;1;1;zthes;https://aciege.org/Schm/Fra/FRA_133.html;27;0;0;0
134;3;sous_groupe;FINANCE DE MARCHE;MARKET FINANCE;;;;13;1 > 13 > 134;L'entreprise et son management > Finance > FINANCE DE MARCHE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_134.html;45;0;0;0
141;3;sous_groupe;GESTION DE LA PRODUCTION;PRODUCTION MANAGEMENT;;;;14;1 > 14 > 141;L'entreprise et son management > Production > GESTION DE LA PRODUCTION;1;1;zthes;https://aciege.org/Schm/Fra/FRA_141.html;53;0;0;0
142;3;sous_groupe;TECHNIQUE INDUSTRIELLE;INDUSTRIAL TECHNIQUE;;;;14;1 > 14 > 142;L'entreprise et son management > Production > TECHNIQUE INDUSTRIELLE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_142.html;28;0;0;0
143;3;sous_groupe;TRANSPORT;TRANSPORTATION;;;;14;1 > 14 > 143;L'entreprise et son management > Production > TRANSPORT;1;1;zthes;https://aciege.org/Schm/Fra/FRA_143.html;33;0;0;0
151;3;sous_groupe;RECHERCHE ET DEVELOPPEMENT;RESEARCH AND DEVELOPMENT;;;;15;1 > 15 > 151;L'entreprise et son management > Recherche > RECHERCHE ET DEVELOPPEMENT;1;1;zthes;https://aciege.org/Schm/Fra/FRA_151.html;20;0;0;0
152;3;sous_groupe;TECHNOLOGIE;TECHNOLOGY;;;;15;1 > 15 > 152;L'entreprise et son management > Recherche > TECHNOLOGIE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_152.html;29;0;0;0
