sous_groupe;descripteur_code;descripteur;relation;cible_code;cible_libelle;cible_url
421;421_55;EXPLOITATION DU MILIEU NATUREL SECTEUR;terme_specifique;421_44;AGRICULTURE SECTEUR;https://aciege.org/Dct/Fra/Fra_421_44.html
421;421_55;EXPLOITATION DU MILIEU NATUREL SECTEUR;terme_specifique;421_67;EXPLOITATION DU MILIEU MARIN SECTEUR;https://aciege.org/Dct/Fra/Fra_421_67.html
421;421_55;EXPLOITATION DU MILIEU NATUREL SECTEUR;terme_specifique;421_42;INDUSTRIE EXTRACTIVE SECTEUR;https://aciege.org/Dct/Fra/Fra_421_42.html
421;421_55;EXPLOITATION DU MILIEU NATUREL SECTEUR;terme_specifique;421_47;PRODUCTION ANIMALE SECTEUR;https://aciege.org/Dct/Fra/Fra_421_47.html
421;421_55;EXPLOITATION DU MILIEU NATUREL SECTEUR;terme_specifique;421_52;PRODUCTION ET DISTRIBUTION D'ENERGIE SECTEUR;https://aciege.org/Dct/Fra/Fra_421_52.html
421;421_55;EXPLOITATION DU MILIEU NATUREL SECTEUR;terme_specifique;421_71;TRAITEMENT ET DISTRIBUTION D'EAU SECTEUR;https://aciege.org/Dct/Fra/Fra_421_71.html
421;421_35;HORTICULTURE SECTEUR;terme_generique;421_44;AGRICULTURE SECTEUR;https://aciege.org/Dct/Fra/Fra_421_44.html
421;421_42;INDUSTRIE EXTRACTIVE SECTEUR;terme_generique;421_55;EXPLOITATION DU MILIEU NATUREL SECTEUR;https://aciege.org/Dct/Fra/Fra_421_55.html
421;421_42;INDUSTRIE EXTRACTIVE SECTEUR;terme_specifique;421_21;CHARBON SECTEUR;https://aciege.org/Dct/Fra/Fra_421_21.html
421;421_42;INDUSTRIE EXTRACTIVE SECTEUR;terme_specifique;421_30;METAL SECTEUR;https://aciege.org/Dct/Fra/Fra_421_30.html
421;421_42;INDUSTRIE EXTRACTIVE SECTEUR;terme_specifique;421_20;MINERAI SECTEUR;https://aciege.org/Dct/Fra/Fra_421_20.html
421;421_33;JARDINERIE SECTEUR;terme_generique;421_44;AGRICULTURE SECTEUR;https://aciege.org/Dct/Fra/Fra_421_44.html
421;421_30;METAL SECTEUR;terme_generique;421_42;INDUSTRIE EXTRACTIVE SECTEUR;https://aciege.org/Dct/Fra/Fra_421_42.html
421;421_20;MINERAI SECTEUR;terme_generique;421_42;INDUSTRIE EXTRACTIVE SECTEUR;https://aciege.org/Dct/Fra/Fra_421_42.html
421;421_68;OSTREICULTURE SECTEUR;terme_generique;421_67;EXPLOITATION DU MILIEU MARIN SECTEUR;https://aciege.org/Dct/Fra/Fra_421_67.html
421;421_48;PECHE SECTEUR;terme_generique;421_47;PRODUCTION ANIMALE SECTEUR;https://aciege.org/Dct/Fra/Fra_421_47.html
421;421_38;PISCICULTURE SECTEUR;terme_generique;421_47;PRODUCTION ANIMALE SECTEUR;https://aciege.org/Dct/Fra/Fra_421_47.html
421;421_47;PRODUCTION ANIMALE SECTEUR;terme_generique;421_55;EXPLOITATION DU MILIEU NATUREL SECTEUR;https://aciege.org/Dct/Fra/Fra_421_55.html
421;421_47;PRODUCTION ANIMALE SECTEUR;terme_specifique;421_36;APICULTURE SECTEUR;https://aciege.org/Dct/Fra/Fra_421_36.html
421;421_47;PRODUCTION ANIMALE SECTEUR;terme_specifique;421_28;AQUACULTURE SECTEUR;https://aciege.org/Dct/Fra/Fra_421_28.html
421;421_47;PRODUCTION ANIMALE SECTEUR;terme_specifique;421_27;AVICULTURE SECTEUR;https://aciege.org/Dct/Fra/Fra_421_27.html
421;421_47;PRODUCTION ANIMALE SECTEUR;terme_specifique;421_48;PECHE SECTEUR;https://aciege.org/Dct/Fra/Fra_421_48.html
421;421_47;PRODUCTION ANIMALE SECTEUR;terme_specifique;421_38;PISCICULTURE SECTEUR;https://aciege.org/Dct/Fra/Fra_421_38.html
421;421_13;PRODUCTION DE CEREALE SECTEUR;terme_generique;421_44;AGRICULTURE SECTEUR;https://aciege.org/Dct/Fra/Fra_421_44.html
421;421_52;PRODUCTION ET DISTRIBUTION D'ENERGIE SECTEUR;terme_generique;421_55;EXPLOITATION DU MILIEU NATUREL SECTEUR;https://aciege.org/Dct/Fra/Fra_421_55.html
421;421_03;SYLVICULTURE SECTEUR;terme_generique;421_44;AGRICULTURE SECTEUR;https://aciege.org/Dct/Fra/Fra_421_44.html
421;421_15;TABAC SECTEUR;terme_generique;421_44;AGRICULTURE SECTEUR;https://aciege.org/Dct/Fra/Fra_421_44.html
421;421_71;TRAITEMENT ET DISTRIBUTION D'EAU SECTEUR;terme_generique;421_55;EXPLOITATION DU MILIEU NATUREL SECTEUR;https://aciege.org/Dct/Fra/Fra_421_55.html
421;421_05;VITICULTURE SECTEUR;terme_generique;421_44;AGRICULTURE SECTEUR;https://aciege.org/Dct/Fra/Fra_421_44.html
422;422_81;ACCASTILLAGE SECTEUR;terme_generique;422_71;CONSTRUCTION NAVALE SECTEUR;https://aciege.org/Dct/Fra/Fra_422_71.html
422;422_51;AERONAUTIQUE SECTEUR;terme_generique;422_55;TRAVAIL DES METAUX SECTEUR;https://aciege.org/Dct/Fra/Fra_422_55.html
422;422_51;AERONAUTIQUE SECTEUR;terme_specifique;422_50;AEROSPATIALE SECTEUR;https://aciege.org/Dct/Fra/Fra_422_50.html
422;422_50;AEROSPATIALE SECTEUR;terme_generique;422_51;AERONAUTIQUE SECTEUR;https://aciege.org/Dct/Fra/Fra_422_51.html
422;422_39;ARME SECTEUR;terme_generique;422_56;MECANIQUE SECTEUR;https://aciege.org/Dct/Fra/Fra_422_56.html
422;422_43;AUTOMOBILE SECTEUR;terme_generique;422_55;TRAVAIL DES METAUX SECTEUR;https://aciege.org/Dct/Fra/Fra_422_55.html
422;422_43;AUTOMOBILE SECTEUR;terme_specifique;422_23;CARAVANING SECTEUR;https://aciege.org/Dct/Fra/Fra_422_23.html
422;422_43;AUTOMOBILE SECTEUR;terme_specifique;422_32;CYCLE ET MOTOCYCLE SECTEUR;https://aciege.org/Dct/Fra/Fra_422_32.html
422;422_43;AUTOMOBILE SECTEUR;terme_specifique;422_30;EQUIPEMENT AUTOMOBILE SECTEUR;https://aciege.org/Dct/Fra/Fra_422_30.html
422;422_43;AUTOMOBILE SECTEUR;terme_specifique;422_31;REPARATION AUTOMOBILE SECTEUR;https://aciege.org/Dct/Fra/Fra_422_31.html
422;422_43;AUTOMOBILE SECTEUR;terme_specifique;422_22;VEHICULE UTILITAIRE SECTEUR;https://aciege.org/Dct/Fra/Fra_422_22.html
422;422_23;CARAVANING SECTEUR;terme_generique;422_43;AUTOMOBILE SECTEUR;https://aciege.org/Dct/Fra/Fra_422_43.html
422;422_73;CONSTRUCTION FERROVIAIRE SECTEUR;terme_generique;422_55;TRAVAIL DES METAUX SECTEUR;https://aciege.org/Dct/Fra/Fra_422_55.html
422;422_80;CONSTRUCTION FLUVIALE SECTEUR;terme_generique;422_71;CONSTRUCTION NAVALE SECTEUR;https://aciege.org/Dct/Fra/Fra_422_71.html
422;422_84;CONSTRUCTION METALLIQUE SECTEUR;terme_generique;422_55;TRAVAIL DES METAUX SECTEUR;https://aciege.org/Dct/Fra/Fra_422_55.html
422;422_84;CONSTRUCTION METALLIQUE SECTEUR;terme_specifique;422_95;MATERIEL METALLIQUE SECTEUR;https://aciege.org/Dct/Fra/Fra_422_95.html
422;422_84;CONSTRUCTION METALLIQUE SECTEUR;terme_specifique;422_94;MOBILIER METALLIQUE SECTEUR;https://aciege.org/Dct/Fra/Fra_422_94.html
422;422_71;CONSTRUCTION NAVALE SECTEUR;terme_generique;422_55;TRAVAIL DES METAUX SECTEUR;https://aciege.org/Dct/Fra/Fra_422_55.html
422;422_71;CONSTRUCTION NAVALE SECTEUR;terme_specifique;422_81;ACCASTILLAGE SECTEUR;https://aciege.org/Dct/Fra/Fra_422_81.html
422;422_71;CONSTRUCTION NAVALE SECTEUR;terme_specifique;422_80;CONSTRUCTION FLUVIALE SECTEUR;https://aciege.org/Dct/Fra/Fra_422_80.html
422;422_32;CYCLE ET MOTOCYCLE SECTEUR;terme_generique;422_43;AUTOMOBILE SECTEUR;https://aciege.org/Dct/Fra/Fra_422_43.html
422;422_30;EQUIPEMENT AUTOMOBILE SECTEUR;terme_generique;422_43;AUTOMOBILE SECTEUR;https://aciege.org/Dct/Fra/Fra_422_43.html
422;422_34;EQUIPEMENT INDUSTRIEL SECTEUR;terme_generique;422_55;TRAVAIL DES METAUX SECTEUR;https://aciege.org/Dct/Fra/Fra_422_55.html
422;422_34;EQUIPEMENT INDUSTRIEL SECTEUR;terme_specifique;422_35;MACHINE OUTIL SECTEUR;https://aciege.org/Dct/Fra/Fra_422_35.html
422;422_34;EQUIPEMENT INDUSTRIEL SECTEUR;terme_specifique;422_25;MATERIEL DE LEVAGE ET MANUTENTION SECTEUR;https://aciege.org/Dct/Fra/Fra_422_25.html
422;422_34;EQUIPEMENT INDUSTRIEL SECTEUR;terme_specifique;422_24;MATERIEL DE TRAVAUX PUBLICS SECTEUR;https://aciege.org/Dct/Fra/Fra_422_24.html
422;422_46;EQUIPEMENT THERMIQUE SECTEUR;terme_generique;422_56;MECANIQUE SECTEUR;https://aciege.org/Dct/Fra/Fra_422_56.html
422;422_38;HORLOGERIE SECTEUR;terme_generique;422_56;MECANIQUE SECTEUR;https://aciege.org/Dct/Fra/Fra_422_56.html
422;422_27;INSTRUMENT DE MESURE SECTEUR;terme_generique;422_37;MECANIQUE DE PRECISION SECTEUR;https://aciege.org/Dct/Fra/Fra_422_37.html
422;422_59;MACHINE AGRICOLE SECTEUR;terme_generique;422_56;MECANIQUE SECTEUR;https://aciege.org/Dct/Fra/Fra_422_56.html
422;422_68;MACHINE HYDRAULIQUE SECTEUR;terme_generique;422_56;MECANIQUE SECTEUR;https://aciege.org/Dct/Fra/Fra_422_56.html
422;422_35;MACHINE OUTIL SECTEUR;terme_generique;422_34;EQUIPEMENT INDUSTRIEL SECTEUR;https://aciege.org/Dct/Fra/Fra_422_34.html
422;422_69;MACHINE PNEUMATIQUE SECTEUR;terme_generique;422_56;MECANIQUE SECTEUR;https://aciege.org/Dct/Fra/Fra_422_56.html
